Designator,Mid X,Mid Y,Rotation,Layer
C1,-11.5396,6.057801,180.0,top
C11,-11.5316,9.1312,180.0,top
C12,-11.5316,8.1152,180.0,top
C15,-2.8702,-0.0382,90.0,bottom
C16,14.1456,-6.916001,180.0,top
C17,15.9766,-5.138002,0.0,top
C18,12.8016,-4.884002,90.0,top
C19,17.3736,-10.726002,180.0,top
C2,-15.8496,8.42,90.0,top
C20,18.7706,-5.1054,0.0,top
C21,14.3256,-4.884002,90.0,top
C22,15.9766,-4.122002,0.0,top
C23,-22.502389,6.513297,337.5,bottom
C24,-11.326797,20.54312,292.5,bottom
C25,-11.7856,-16.1672,0.0,top
C26,-15.4686,18.2498,0.0,top
C27,-13.8176,14.2874,270.0,top
C28,-14.1478,11.3664,0.0,top
C29,-8.255,14.602399,270.0,top
C3,-14.732,8.42,90.0,top
C30,-6.223,14.602399,270.0,top
C31,6.559069,22.563107,247.5,bottom
C32,20.376567,11.205756,202.5,bottom
C33,22.502389,-6.436079,157.5,bottom
C34,11.404482,-20.463002,112.5,bottom
C35,-6.475689,-22.563108,67.5,bottom
C36,-20.498585,-11.408548,22.5,bottom
C37,13.3604,15.8876,180.0,top
C38,11.43,15.8876,180.0,top
C4,-11.5142,2.9844,180.0,top
C41,9.4996,15.8876,0.0,top
C5,-11.5142,4.0004,180.0,top
C6,-11.5142,5.0164,180.0,top
D1,-22.021719,9.139039,67.5,bottom
D2,-9.106939,22.053819,22.5,bottom
D3,9.157317,22.053819,337.5,bottom
D4,22.072095,9.139039,292.5,bottom
D5,22.072095,-9.125216,247.5,bottom
D6,9.157316,-22.039996,202.5,bottom
D7,-9.106939,-22.039996,157.5,bottom
D8,-22.021718,-9.125216,112.5,bottom
J1,-22.489499,0.0,270.0,top
J2,-0.0508,-18.3572,0.0,top
L5,-11.4046,14.5922,90.0,top
M1,13.6144,-16.2306,220.0,top
R1,-11.5596,7.0738,0.0,top
R10,-18.5674,14.5922,270.0,top
R11,-16.9752,11.8744,180.0,top
R13,8.3312,-12.3444,180.0,top
R14,8.333199,-11.303,180.0,top
R2,-15.2908,4.9402,0.0,top
R3,-10.1092,-15.7354,90.0,top
R4,-6.0706,-14.6686,0.0,top
R5,-4.572,-14.2114,270.0,top
R6,20.1676,-5.842,90.0,top
R7,-14.097,-16.1672,0.0,top
R9,-15.4432,17.2084,0.0,top
U1,0.0,0.3968,0.0,top
U2,17.3736,-7.906601,270.0,top
U3,0.0,0.0,270.0,bottom
U4,-14.1478,-12.6112,180.0,top
U5,12.95,13.5508,180.0,top
U6,-16.2052,14.554089,270.0,top
U7,9.4742,13.5508,90.0,top
Y1,-15.2908,6.4642,180.0,top
